house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
3 BHK,Apartment ,1200,Baner,Pune,45000,3,0,Semi-Furnished
1 RK,Studio Apartment,350,Karve Nagar,Pune,11000,1,0,Unfurnished
3 BHK,Apartment ,1250,Tathawade,Pune,38000,3,0,Furnished
2 BHK,Apartment ,1000,Kothrud,Pune,35000,2,0,Furnished
2 BHK,Apartment ,900,Bavdhan,Pune,30000,2,0,Semi-Furnished
2 BHK,Apartment ,850,Shivane,Pune,10500,2,0,Unfurnished
1 BHK,Apartment ,650,Dhayari,Pune,11000,1,0,Furnished
2 BHK,Apartment ,700,Dhayari Phata,Pune,10000,1,0,Unfurnished
2 BHK,Apartment ,850,Dhayari,Pune,16500,1,0,Semi-Furnished
2 BHK,Apartment ,900,Dhayari,Pune,16000,2,0,Semi-Furnished
1 BHK,Apartment ,650,Ambegaon Budruk,Pune,11000,1,0,Semi-Furnished
1 BHK,Apartment ,650,Dhayari,Pune,11000,1,0,Furnished
2 BHK,Apartment ,1200,Karve Nagar,Pune,32000,2,0,Semi-Furnished
2 BHK,Apartment ,1350,Kondhwa,Pune,28000,2,0,Unfurnished
2 BHK,Apartment ,1050,Kondhwa,Pune,17000,2,0,Unfurnished
2 BHK,Apartment ,1500,Sopan Baug,Pune,35000,2,0,Unfurnished
2 BHK,Apartment ,750,Hinjewadi,Pune,28000,2,0,Furnished
1 BHK,Apartment ,600,Karve Nagar,Pune,22000,2,0,Furnished
2 BHK,Apartment ,800,Bavdhan,Pune,20000,2,0,Semi-Furnished
2 BHK,Apartment ,800,Bavdhan,Pune,20000,2,0,Semi-Furnished
2 BHK,Apartment ,1000,Kothrud,Pune,30000,2,0,Semi-Furnished
2 BHK,Apartment ,1000,Sopan Baug,Pune,22000,2,0,Unfurnished
1 RK,Studio Apartment,350,Karve Nagar,Pune,11000,1,0,Unfurnished
1 BHK,Apartment ,650,Karve Nagar,Pune,20000,1,0,Furnished
2 BHK,Apartment ,900,Warje,Pune,20000,2,0,Unfurnished
1 RK,Studio Apartment,320,Karve Nagar,Pune,8000,1,0,Unfurnished
2 BHK,Apartment ,986,Hinjewadi,Pune,30000,2,0,Furnished
3 BHK,Apartment ,1650,Mohammed wadi,Pune,31000,3,0,Semi-Furnished
2 BHK,Apartment ,1200,Kothrud,Pune,30000,2,0,Furnished
2 BHK,Apartment ,1000,Kothrud,Pune,42000,2,0,Furnished
2 BHK,Apartment ,980,Hinjewadi,Pune,30000,2,0,Furnished
1 RK,Studio Apartment,500,Karve Nagar,Pune,12500,1,0,Unfurnished
2 BHK,Apartment ,900,Bavdhan,Pune,26000,2,0,Unfurnished
2 BHK,Apartment ,900,Karve Nagar,Pune,31000,2,0,Furnished
2 BHK,Apartment ,1000,New Kalyani Nagar,Pune,35000,2,0,Semi-Furnished
2 BHK,Apartment ,1000,Wadgaon Sheri,Pune,35000,2,0,Semi-Furnished
1 BHK,Apartment ,550,Kondhwa,Pune,15000,1,0,Unfurnished
1 BHK,Apartment ,513,Hinjewadi,Pune,21000,1,0,Semi-Furnished
1 BHK,Apartment ,550,Hinjewadi,Pune,25000,1,0,Furnished
3 BHK,Apartment ,1500,Sopan Baug,Pune,46000,2,0,Furnished
1 BHK,Apartment ,700,New Kalyani Nagar,Pune,23000,2,0,Furnished
1 BHK,Apartment ,700,Wadgaon Sheri,Pune,18000,1,0,Unfurnished
2 BHK,Apartment ,1000,Yerawada,Pune,20000,3,0,Semi-Furnished
2 BHK,Apartment ,1000,Yerawada,Pune,20000,3,0,Semi-Furnished
2 BHK,Apartment ,1000,Dhanori,Pune,22000,2,0,Semi-Furnished
2 BHK,Apartment ,950,Wadgaon Sheri,Pune,30000,2,0,Unfurnished
2 BHK,Apartment ,738,Hinjewadi,Pune,21000,2,0,Semi-Furnished
1 BHK,Independent Floor,700,Kharadi,Pune,20000,1,0,Unfurnished
1 BHK,Apartment ,700,Wadgaon Sheri,Pune,24000,1,0,Furnished
1 BHK,Apartment ,600,Viman Nagar,Pune,26000,1,0,Furnished
1 BHK,Apartment ,600,Vishrantwadi,Pune,11000,1,0,Unfurnished
2 BHK,Apartment ,850,Vishrantwadi,Pune,17000,2,0,Unfurnished
2 BHK,Apartment ,800,Dhanori,Pune,21000,2,0,Unfurnished
1 BHK,Apartment ,600,Kalas,Pune,17000,1,0,Semi-Furnished
1 BHK,Independent House,650,Dhanori,Pune,14000,2,0,Semi-Furnished
1 RK,Studio Apartment,350,Vishrantwadi,Pune,12500,1,0,Furnished
3 BHK,Independent House,900,Dhanori,Pune,20000,2,0,Unfurnished
1 RK,Studio Apartment,400,Vishrantwadi,Pune,12000,1,0,Furnished
2 BHK,Apartment ,1300,Kharadi,Pune,32000,2,0,Semi-Furnished
2 BHK,Apartment ,1400,Kharadi,Pune,43000,2,0,Furnished
2 BHK,Apartment ,1200,Wakad,Pune,24000,2,0,Unfurnished
2 BHK,Apartment ,700,Tathawade,Pune,22000,2,0,Semi-Furnished
1 BHK,Apartment ,500,Viman Nagar,Pune,25000,1,0,Furnished
1 BHK,Apartment ,650,Viman Nagar,Pune,27000,1,0,Furnished
1 BHK,Apartment ,600,Viman Nagar,Pune,27000,1,0,Furnished
1 BHK,Apartment ,620,Mundhwa,Pune,22000,1,0,Unfurnished
3 BHK,Villa ,2400,Ghorpadi,Pune,60000,3,0,Semi-Furnished
2 BHK,Apartment ,700,Vishrantwadi,Pune,16000,1,0,Unfurnished
2 BHK,Apartment ,1000,Kharadi,Pune,35000,2,0,Furnished
2 BHK,Apartment ,995,Ambegaon Budruk,Pune,12935,2,0,Semi-Furnished
1 BHK,Apartment ,650,Dhayari,Pune,14000,1,0,Semi-Furnished
2 BHK,Apartment ,1000,Wagholi,Pune,17000,2,0,Unfurnished
2 BHK,Apartment ,1000,Wadgaon Sheri,Pune,30000,2,0,Furnished
1 BHK,Apartment ,700,Wadgaon Sheri,Pune,25000,2,0,Furnished
2 BHK,Independent House,1000,Ghorpadi,Pune,23000,2,0,Unfurnished
2 BHK,Apartment ,750,Sus,Pune,20000,2,0,Semi-Furnished
1 BHK,Apartment ,550,Khadki,Pune,15000,1,0,Semi-Furnished
1 BHK,Apartment ,555,Vishrantwadi,Pune,13000,1,0,Unfurnished
2 BHK,Apartment ,850,Kalas,Pune,18000,2,0,Semi-Furnished
1 BHK,Apartment ,550,Yerawada,Pune,14000,1,0,Semi-Furnished
1 BHK,Apartment ,609,Yerawada,Pune,17000,1,0,Semi-Furnished
